TAXID,SAMPLE,SEQUENCE_ID,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,COVERAGE_PCT,IDENTITY_PCT,DATABASE,ACCESSION,PRODUCT,RESISTANCE,NAME
1783272,"D23","f195daeb-f67d-4354-9c60-7281149adb4f",25,1923,"-","tet(W)","1-1904/1920","========/======","4/7",98.85,96.85,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Terrabacteria group"
1783272,"D19","b59053a0-3d6b-4812-9bbc-ecc5307c0df3",2017,2511,"-","lnuC","1-495/495","===============","0/0",100,98.79,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Terrabacteria group"
1783272,"D21","e3f94ae4-1b56-4a8f-8ff1-20af1a5a16e1",150,644,"+","dfrF","1-495/495","===============","0/0",100,100,"card","AF028812.1:392-887","dfrF is a chromosome-encoded dihydrofolate reductase found in Streptococcus pyogenes.","diaminopyrimidine","Terrabacteria group"
1783272,"D28","412d82ea-8103-4a31-a7ca-fbb659f2b449",1355,3265,"-","tet(O)","1-1920/1920","========/======","9/17",99.32,98.44,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Terrabacteria group"
1793,"D23","09bfd529-48ae-4fef-bc10-fd1b0ea43fe5",1189,3100,"+","tet(32)","1-1920/1920","========/======","4/8",99.58,94.53,"card","EU722333.1:1932-3852","Tet(32) is a tetracycline resistance gene similar to Tet(O) and binds to the ribosome to confer tetracycline resistance as a ribosomal protection protein.","tetracycline","Mycolicibacterium fallax"
1793,"D23","09bfd529-48ae-4fef-bc10-fd1b0ea43fe5",1189,3100,"+","tet(32)","1-1920/1920","========/======","4/8",99.58,94.53,"card","EU722333.1:1932-3852","Tet(32) is a tetracycline resistance gene similar to Tet(O) and binds to the ribosome to confer tetracycline resistance as a ribosomal protection protein.","tetracycline","Mycolicibacterium fallax"
1796616,"D27","e92e3190-3798-4141-9e71-f2aa8c129a22",5553,7471,"+","tet(W)","1-1920/1920","========/======","5/7",99.79,97.19,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Blautia pseudococcoides"
1796616,"D27","e92e3190-3798-4141-9e71-f2aa8c129a22",5553,7471,"+","tet(W)","1-1920/1920","========/======","5/7",99.79,97.19,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Blautia pseudococcoides"
1796620,"D23","41fcd790-4b11-4c25-863f-e1fd6b7f9e13",2573,4491,"+","tet(O)","1-1920/1920","========/======","3/3",99.9,99.43,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Acutalibacter muris"
1796620,"D23","a7ac54b1-e7d5-44fd-a645-08aa5ce48caf",2989,4902,"+","tet(O)","1-1920/1920","========/======","6/14",99.48,98.49,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Acutalibacter muris"
1796620,"D23","41fcd790-4b11-4c25-863f-e1fd6b7f9e13",2573,4491,"+","tet(O)","1-1920/1920","========/======","3/3",99.9,99.43,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Acutalibacter muris"
1796620,"D23","a7ac54b1-e7d5-44fd-a645-08aa5ce48caf",2989,4902,"+","tet(O)","1-1920/1920","========/======","6/14",99.48,98.49,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Acutalibacter muris"
186801,"D31","6e29b363-b26e-48a6-be8f-3e85c168c795",7284,9203,"+","tet(W)","1-1920/1920","========/======","4/6",99.84,99.22,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D27","5aba6294-fef9-4ed5-804f-a1a8a7388504",2,1799,"-","tet(32)","1-1802/1920","========/======","7/10",93.49,94.24,"card","EU722333.1:1932-3852","Tet(32) is a tetracycline resistance gene similar to Tet(O) and binds to the ribosome to confer tetracycline resistance as a ribosomal protection protein.","tetracycline","Clostridia"
186801,"D20","47acc658-7110-4fc9-96e9-517e04726c89",8043,8584,"-","SAT-4","1-543/543","========/======","1/1",99.82,99.45,"card","U01945.1:373-916","SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al 1994.","nucleoside","Clostridia"
186801,"D33","b6b09267-85c7-4f3c-a2b5-509e3ec87f04",4698,6618,"-","tet(O)","1-1920/1920","========/======","3/3",99.95,99.64,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Clostridia"
186801,"D22","252c6587-4f10-4b93-bd14-830a3675d4c3",2686,4602,"+","tet(W)","1-1920/1920","========/======","10/13",99.58,96.88,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D32","e1eff141-924a-4bd2-838c-417d69e72f92",1022,1816,"-","APH(3')-IIIa","1-795/795","===============","0/0",100,99.37,"card","CP004067.1:52914-53709","APH(3')-IIIa is a plasmid-encoded aminoglycoside phosphotransferase in S. aureus and Enterococcus spp.","aminoglycoside","Clostridia"
186801,"D19","d3b75197-b4c4-4ff4-876a-4ed13f2e9886",399,1618,"-","tet(40)","1-1221/1221","========/======","1/1",99.92,98.85,"card","AM419751.1:14210-15431","Tet40 is a tetracycline efflux pump found in the Gram-positive Clostridium. It is similar to tetA(P).","tetracycline","Clostridia"
186801,"D24","1daa2565-5a08-41eb-9ab2-23116d820dbb",8158,10076,"-","tet(W)","1-1920/1920","========/======","4/7",99.79,99.27,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D25","9334a710-d7e7-4b0d-bf9e-db784c1c5f3a",7664,8398,"+","ErmG","1-735/735","===============","0/0",100,99.59,"card","L42817.1:201-936","ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.","lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B","Clostridia"
186801,"D25","0eaa1826-8c85-45ac-915d-01b742348800",3320,3862,"-","SAT-4","1-543/543","===============","0/0",100,99.82,"card","U01945.1:373-916","SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al 1994.","nucleoside","Clostridia"
186801,"D33","c322a692-aa87-4e53-bea2-cfc6f493906d",2393,4307,"-","tet(W)","1-1920/1920","========/======","4/9",99.64,97.5,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D19","01222ffa-5337-4dd8-8772-db6b92425b6b",3095,3589,"-","lnuC","1-495/495","===============","0/0",100,98.99,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridia"
186801,"D25","b86b9358-36f2-4d89-ad05-146c9e0fe92f",4785,6458,"+","tet(O)","1-1673/1920","========/=====.","6/11",86.88,98.93,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Clostridia"
186801,"D26","06a05dc7-3024-4d78-b441-f59d9878b7b3",2049,2543,"+","lnuC","1-495/495","===============","0/0",100,98.99,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridia"
186801,"D20","65fae7e7-74a5-432e-8b64-6a8a7e755b1f",15018,16885,"+","tet(W)","1-1920/1920","========/======","35/92",96.25,91.65,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D20","47acc658-7110-4fc9-96e9-517e04726c89",7161,7950,"-","APH(3')-IIIa","1-795/795","========/======","15/21",98.36,93.52,"card","CP004067.1:52914-53709","APH(3')-IIIa is a plasmid-encoded aminoglycoside phosphotransferase in S. aureus and Enterococcus spp.","aminoglycoside","Clostridia"
186801,"D34","8f77b283-7e6b-4f14-8f4c-35c78556fc68",3505,4291,"-","APH(3')-IIIa","1-795/795","========/======","8/12",98.74,96.74,"card","CP004067.1:52914-53709","APH(3')-IIIa is a plasmid-encoded aminoglycoside phosphotransferase in S. aureus and Enterococcus spp.","aminoglycoside","Clostridia"
186801,"D30","512fcc1d-e345-4c3b-b451-63eab8cbf90b",2696,3236,"-","SAT-4","1-543/543","========/======","1/2",99.63,99.45,"card","U01945.1:373-916","SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al 1994.","nucleoside","Clostridia"
186801,"D32","7e0ccb91-108e-4469-b0f9-ffad5dd5c53a",3153,5066,"+","tet(32)","1-1920/1920","========/======","6/10",99.58,94.38,"card","EU722333.1:1932-3852","Tet(32) is a tetracycline resistance gene similar to Tet(O) and binds to the ribosome to confer tetracycline resistance as a ribosomal protection protein.","tetracycline","Clostridia"
186801,"D30","6fbdb00e-2ed7-4ab6-8392-ffaa3b6f4007",5321,5815,"-","lnuC","1-495/495","===============","0/0",100,98.79,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridia"
186801,"D25","6d88746d-e5b3-4bac-aa4e-a41f64f202b4",3637,5536,"+","tet(O)","1-1920/1920","========/======","32/52",98.12,94.53,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Clostridia"
186801,"D28","659fd4fa-1a78-4e2d-9394-dac10aaa6e19",3092,5012,"+","tet(32)","1-1920/1920","========/======","5/9",99.79,94.49,"card","EU722333.1:1932-3852","Tet(32) is a tetracycline resistance gene similar to Tet(O) and binds to the ribosome to confer tetracycline resistance as a ribosomal protection protein.","tetracycline","Clostridia"
186801,"D33","366420f7-0866-4648-a3f4-722e830db645",3121,5033,"-","tet(W)","1-1920/1920","========/======","12/25",99.17,95.59,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D31","6e29b363-b26e-48a6-be8f-3e85c168c795",7284,9203,"+","tet(W)","1-1920/1920","========/======","4/6",99.84,99.22,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D32","e1eff141-924a-4bd2-838c-417d69e72f92",1907,2449,"-","SAT-4","1-543/543","===============","0/0",100,99.82,"card","U01945.1:373-916","SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al 1994.","nucleoside","Clostridia"
186801,"D21","6b42468b-c0a6-491a-936d-387c0807d555",1,983,"+","cfrE","54-1035/1035","========/======","3/3",94.78,99.19,"card","QUDP01000003.1:17069-16034","The gene cfr(E) is a cfr-like gene found in Clostridioides difficile isolate DF11. It confers resistance to antibiotics targeting to the 23s rRNA through hypermethylation of nucleotide A2503.","lincosamide;oxazolidinone;phenicol;pleuromutilin;streptogramin","Clostridia"
186801,"D32","e1eff141-924a-4bd2-838c-417d69e72f92",7376,8183,"+","aad(6)","1-822/831","========/======","11/18",96.99,86.41,"card","AY712687.1:0-831","ANT(6)-Ia/aad(6) is a plasmid-encoded aminoglycoside nucleotidyltransferase gene in E. faecalis and Streptococcus oralis.","aminoglycoside","Clostridia"
186801,"D31","816a2eca-5938-43fb-b803-29065d710956",4344,5563,"-","tet(40)","1-1221/1221","========/======","1/1",99.92,99.26,"card","AM419751.1:14210-15431","Tet40 is a tetracycline efflux pump found in the Gram-positive Clostridium. It is similar to tetA(P).","tetracycline","Clostridia"
186801,"D20","ff607ad8-5283-497f-a29c-eb11b4660042",588,1322,"+","ErmG","1-735/735","===============","0/0",100,99.59,"card","L42817.1:201-936","ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.","lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B","Clostridia"
186801,"D29","49467905-776e-402b-8b67-31919f748ce5",7067,7857,"-","APH(3')-IIIa","1-791/795","========/======","3/4",99.25,99.37,"card","CP004067.1:52914-53709","APH(3')-IIIa is a plasmid-encoded aminoglycoside phosphotransferase in S. aureus and Enterococcus spp.","aminoglycoside","Clostridia"
186801,"D34","8f77b283-7e6b-4f14-8f4c-35c78556fc68",4384,4923,"-","SAT-4","1-543/543","========/======","1/3",99.45,98.71,"card","U01945.1:373-916","SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al 1994.","nucleoside","Clostridia"
186801,"D20","ff607ad8-5283-497f-a29c-eb11b4660042",588,1322,"+","ErmG","1-735/735","===============","0/0",100,99.59,"card","L42817.1:201-936","ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.","lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B","Clostridia"
186801,"D23","c17d68a0-70a0-404d-8706-3d348c6fa939",2537,4447,"+","tet(W)","1-1920/1920","========/======","7/15",99.38,98.91,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D25","5673cac2-d9dc-41bb-8d66-87c5a95b95ec",1102,2028,"+","Erm(52)","1-930/930","========/======","2/3",99.68,99.57,"card","MW269959.1:0-930","Erm(52) is an Erm ribosomal RNA methyltransferase.","lincosamide;macrolide;streptogramin","Clostridia"
186801,"D33","b6b09267-85c7-4f3c-a2b5-509e3ec87f04",3421,4628,"-","tet(40)","1-1221/1221","========/======","7/15",98.85,96.64,"card","AM419751.1:14210-15431","Tet40 is a tetracycline efflux pump found in the Gram-positive Clostridium. It is similar to tetA(P).","tetracycline","Clostridia"
186801,"D30","baa102bb-b839-435c-8567-2435dbf308aa",5335,5829,"-","lnuC","1-495/495","===============","0/0",100,99.19,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridia"
186801,"D22","2e42b0a7-405e-4391-a949-5007070be3e0",8049,9960,"+","tet(W)","1-1920/1920","========/======","4/10",99.53,99.17,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D32","5ddd85df-bdd5-4503-a536-1915d22e625a",3484,5405,"-","tet(W)","1-1920/1920","========/======","6/6",99.9,97.66,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D32","45b13f22-9afa-4828-920a-ab6233bd329f",4616,5836,"-","tet(40)","1-1221/1221","===============","0/0",100,99.1,"card","AM419751.1:14210-15431","Tet40 is a tetracycline efflux pump found in the Gram-positive Clostridium. It is similar to tetA(P).","tetracycline","Clostridia"
186801,"D31","dbc4997c-87dc-44ca-8bf4-8ce9b724923e",6136,6675,"-","SAT-4","1-543/543","========/======","1/3",99.45,98.71,"card","U01945.1:373-916","SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al 1994.","nucleoside","Clostridia"
186801,"D29","9c68d045-0b2e-465c-8b32-ac7ec99433b0",4441,4976,"-","AAC(6')-Im","1-537/537","========/======","1/1",99.81,99.25,"card","AF337947.1:1214-1751","AAC(6')-Im is an aminoglycoside acetyltransferase encoded by plasmids in E. coli and E. faecium.","aminoglycoside","Clostridia"
186801,"D26","d5c3a46f-bf72-4a57-a8dc-f9ac11670442",396,1430,"-","cfrE","1-1035/1035","===============","0/0",100,100,"card","QUDP01000003.1:17069-16034","The gene cfr(E) is a cfr-like gene found in Clostridioides difficile isolate DF11. It confers resistance to antibiotics targeting to the 23s rRNA through hypermethylation of nucleotide A2503.","lincosamide;oxazolidinone;phenicol;pleuromutilin;streptogramin","Clostridia"
186801,"D32","e1eff141-924a-4bd2-838c-417d69e72f92",7376,8183,"+","aad(6)","1-822/831","========/======","11/18",96.99,86.41,"card","AY712687.1:0-831","ANT(6)-Ia/aad(6) is a plasmid-encoded aminoglycoside nucleotidyltransferase gene in E. faecalis and Streptococcus oralis.","aminoglycoside","Clostridia"
186801,"D29","49467905-776e-402b-8b67-31919f748ce5",7950,8492,"-","SAT-4","1-543/543","===============","0/0",100,99.82,"card","U01945.1:373-916","SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al 1994.","nucleoside","Clostridia"
186801,"D28","a9f0da65-7b20-4755-a5be-467381cbed99",6174,6666,"-","lnuC","1-495/495","========/======","2/2",99.6,98.18,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridia"
186801,"D30","512fcc1d-e345-4c3b-b451-63eab8cbf90b",1810,2603,"-","APH(3')-IIIa","1-795/795","========/======","3/3",99.75,99.25,"card","CP004067.1:52914-53709","APH(3')-IIIa is a plasmid-encoded aminoglycoside phosphotransferase in S. aureus and Enterococcus spp.","aminoglycoside","Clostridia"
186801,"D25","f100aab0-0c11-41b1-9b5a-23b51dc6bc03",3426,5326,"+","tet(O)","1-1920/1920","========/======","18/31",98.7,96.57,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Clostridia"
186801,"D28","b98130ed-6774-4cdb-8da5-478955511fc0",2113,2609,"-","lnuC","1-495/495","========/======","1/2",100,98.59,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridia"
186801,"D32","08c06f8e-1f13-4977-9dab-54a43d048f62",7681,8415,"+","ErmG","1-735/735","===============","0/0",100,99.59,"card","L42817.1:201-936","ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.","lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B","Clostridia"
186801,"D34","8f77b283-7e6b-4f14-8f4c-35c78556fc68",4384,4923,"-","SAT-4","1-543/543","========/======","1/3",99.45,98.71,"card","U01945.1:373-916","SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al 1994.","nucleoside","Clostridia"
186801,"D23","b6a602ce-c64c-490b-a7ce-ad3fe1ab5a38",4240,4734,"-","lnuC","1-495/495","===============","0/0",100,99.19,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridia"
186801,"D21","0d649bee-11d4-41a0-bc74-383176349dc4",4768,5561,"-","APH(3')-IIIa","1-795/795","========/======","1/1",99.87,99.87,"card","CP004067.1:52914-53709","APH(3')-IIIa is a plasmid-encoded aminoglycoside phosphotransferase in S. aureus and Enterococcus spp.","aminoglycoside","Clostridia"
186801,"D26","92aa50e0-d12a-43d3-9ae7-aad31db42b13",6677,7716,"-","cfrE","5-1035/1035","========/======","18/33",98.45,94.77,"card","QUDP01000003.1:17069-16034","The gene cfr(E) is a cfr-like gene found in Clostridioides difficile isolate DF11. It confers resistance to antibiotics targeting to the 23s rRNA through hypermethylation of nucleotide A2503.","lincosamide;oxazolidinone;phenicol;pleuromutilin;streptogramin","Clostridia"
186801,"D31","816a2eca-5938-43fb-b803-29065d710956",4344,5563,"-","tet(40)","1-1221/1221","========/======","1/1",99.92,99.26,"card","AM419751.1:14210-15431","Tet40 is a tetracycline efflux pump found in the Gram-positive Clostridium. It is similar to tetA(P).","tetracycline","Clostridia"
186801,"D21","0d649bee-11d4-41a0-bc74-383176349dc4",4768,5561,"-","APH(3')-IIIa","1-795/795","========/======","1/1",99.87,99.87,"card","CP004067.1:52914-53709","APH(3')-IIIa is a plasmid-encoded aminoglycoside phosphotransferase in S. aureus and Enterococcus spp.","aminoglycoside","Clostridia"
186801,"D23","8b159ea6-ebdb-459e-826f-c2d2212228aa",2782,3711,"+","Erm(52)","1-930/930","===============","0/0",100,100,"card","MW269959.1:0-930","Erm(52) is an Erm ribosomal RNA methyltransferase.","lincosamide;macrolide;streptogramin","Clostridia"
186801,"D32","e1eff141-924a-4bd2-838c-417d69e72f92",8191,8732,"+","SAT-4","1-543/543","========/======","6/7",99.26,97.44,"card","U01945.1:373-916","SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al 1994.","nucleoside","Clostridia"
186801,"D28","c30d3ee8-48d0-4a08-82c7-dae1c3ff920b",6797,7726,"+","Erm(52)","1-930/930","===============","0/0",100,99.89,"card","MW269959.1:0-930","Erm(52) is an Erm ribosomal RNA methyltransferase.","lincosamide;macrolide;streptogramin","Clostridia"
186801,"D30","baa102bb-b839-435c-8567-2435dbf308aa",5335,5829,"-","lnuC","1-495/495","===============","0/0",100,99.19,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridia"
186801,"D32","7e0ccb91-108e-4469-b0f9-ffad5dd5c53a",3153,5066,"+","tet(32)","1-1920/1920","========/======","6/10",99.58,94.38,"card","EU722333.1:1932-3852","Tet(32) is a tetracycline resistance gene similar to Tet(O) and binds to the ribosome to confer tetracycline resistance as a ribosomal protection protein.","tetracycline","Clostridia"
186801,"D23","02cffc9f-54d1-4f7f-9140-2a30d697bf57",2006,2683,"+","ErmG","1-678/735","==============.","0/0",92.24,99.41,"card","L42817.1:201-936","ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.","lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B","Clostridia"
186801,"D25","b86b9358-36f2-4d89-ad05-146c9e0fe92f",4785,6458,"+","tet(O)","1-1673/1920","========/=====.","6/11",86.88,98.93,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Clostridia"
186801,"D25","d9b04e4d-c4a7-46a5-bb8e-1ecd615412b4",647,1380,"-","ErmG","1-735/735","========/======","1/1",99.86,99.32,"card","L42817.1:201-936","ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.","lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B","Clostridia"
186801,"D23","cc63cbf5-7d09-44ff-bfaf-e91d0a6bc1d8",1657,3568,"+","tet(W)","1-1920/1920","========/======","3/8",99.58,99.38,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D25","f100aab0-0c11-41b1-9b5a-23b51dc6bc03",3426,5326,"+","tet(O)","1-1920/1920","========/======","18/31",98.7,96.57,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Clostridia"
186801,"D21","6b42468b-c0a6-491a-936d-387c0807d555",1,983,"+","cfrE","54-1035/1035","========/======","3/3",94.78,99.19,"card","QUDP01000003.1:17069-16034","The gene cfr(E) is a cfr-like gene found in Clostridioides difficile isolate DF11. It confers resistance to antibiotics targeting to the 23s rRNA through hypermethylation of nucleotide A2503.","lincosamide;oxazolidinone;phenicol;pleuromutilin;streptogramin","Clostridia"
186801,"D30","92a6e68e-8e89-4935-81d3-26c3c6c08ba6",8358,10275,"+","tet(W)","1-1920/1920","========/======","1/2",99.9,99.74,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D20","65fae7e7-74a5-432e-8b64-6a8a7e755b1f",15018,16885,"+","tet(W)","1-1920/1920","========/======","35/92",96.25,91.65,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D26","06a05dc7-3024-4d78-b441-f59d9878b7b3",2049,2543,"+","lnuC","1-495/495","===============","0/0",100,98.99,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridia"
186801,"D23","02cffc9f-54d1-4f7f-9140-2a30d697bf57",2006,2683,"+","ErmG","1-678/735","==============.","0/0",92.24,99.41,"card","L42817.1:201-936","ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.","lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B","Clostridia"
186801,"D25","0eaa1826-8c85-45ac-915d-01b742348800",3320,3862,"-","SAT-4","1-543/543","===============","0/0",100,99.82,"card","U01945.1:373-916","SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al 1994.","nucleoside","Clostridia"
186801,"D31","e3e0f265-96c0-4e75-80a3-c7a712e72ab7",9851,11772,"-","tet(O)","1-1920/1920","========/======","2/2",100,99.22,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Clostridia"
186801,"D23","cc63cbf5-7d09-44ff-bfaf-e91d0a6bc1d8",1657,3568,"+","tet(W)","1-1920/1920","========/======","3/8",99.58,99.38,"card","AJ222769.3:3686-5606","Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.","tetracycline","Clostridia"
186801,"D35","66b3631a-43c1-421c-b3a4-e022d92561b5",1011,1937,"+","Erm(52)","1-930/930","========/======","4/5",99.57,98.82,"card","MW269959.1:0-930","Erm(52) is an Erm ribosomal RNA methyltransferase.","lincosamide;macrolide;streptogramin","Clostridia"
186801,"D35","a9126dfb-ace5-454a-a3f6-2bfd7e8a2be1",5147,7061,"+","tet(O)","1-1920/1920","========/======","4/5",99.74,99.32,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Clostridia"
186801,"D30","23726188-6ece-4e9a-ac75-99ead6e20fb7",3874,5786,"+","tet(O)","1-1920/1920","========/======","7/9",99.58,99.11,"card","M18896.2:206-2126","Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.","tetracycline","Clostridia"
